type,air_temp_k,process_temp_k,rot_speed_rpm,torque_nm,tool_wear_min,machine_failure,TWF,HDF,PWF,OSF,RNF,failure_type,temp_diff_k,power_w,wear_torque,rule_hdf,rule_pwf,rule_osf,rule_twf
2,0.3913043478260789,0.44444444444444997,0.12048894062863802,0.5343406593406593,0.2292490118577075,0,0,0,0,0,0,NORMAL,10.400000000000034,6148.358622463024,2476.6000000000004,False,False,False,False
0,0.38043478260869534,0.44444444444444997,0.1641443538998837,0.5631868131868131,0.24901185770750986,0,0,0,0,0,0,NORMAL,10.5,6802.595292573098,2822.3999999999996,False,False,False,False
1,0.3913043478260789,0.44444444444444997,0.24039580908032598,0.3695054945054945,0.2569169960474308,0,0,0,0,0,0,NORMAL,10.400000000000034,5082.75133831639,1995.5,False,False,False,False
0,0.4021739130434767,0.45679012345679126,0.3434225844004658,0.3008241758241758,0.26877470355731226,0,0,0,0,0,0,NORMAL,10.399999999999977,4731.3013681593,1747.6,False,False,False,False
1,0.4021739130434767,0.45679012345679126,0.22875436554132722,0.46016483516483514,0.27667984189723316,0,0,0,0,0,0,NORMAL,10.399999999999977,6097.339157768725,2611.0,False,False,False,False
0,0.4021739130434767,0.46913580246913966,0.4033760186263097,0.2678571428571429,0.2885375494071146,0,0,0,0,0,0,NORMAL,10.5,4540.784717670103,1700.9,False,False,False,False
0,0.4130434782608674,0.46913580246913966,0.20023282887077998,0.4835164835164835,0.2964426877470355,0,0,0,0,0,0,NORMAL,10.399999999999977,6175.114519896097,2925.0,False,False,False,False
2,0.4130434782608674,0.45679012345679126,0.3742724097788127,0.28571428571428575,0.3043478260869565,0,0,0,0,0,0,NORMAL,10.299999999999955,4665.327922433915,1894.2,False,False,False,False
0,0.4130434782608674,0.45679012345679126,0.1577415599534343,0.554945054945055,0.32411067193675885,0,0,0,0,0,0,NORMAL,10.299999999999955,6660.574360679816,3624.4,False,False,False,False
0,0.4021739130434767,0.45679012345679126,0.30558789289871946,0.3612637362637363,0.3320158102766798,0,0,0,0,0,0,NORMAL,10.399999999999977,5336.445417069278,2528.4,False,False,False,False
1,0.4130434782608674,0.46913580246913966,0.09953434225844005,0.6098901098901098,0.33992094861660077,0,0,0,0,0,0,NORMAL,10.399999999999977,6758.592051471817,4145.2,False,False,False,False
0,0.4021739130434767,0.45679012345679126,0.36670547147846333,0.2980769230769231,0.3517786561264822,0,0,0,0,0,0,NORMAL,10.399999999999977,4801.296052481281,2269.5,False,False,False,False
0,0.4021739130434767,0.45679012345679126,0.14610011641443543,0.6112637362637362,0.35968379446640314,0,0,0,0,0,0,NORMAL,10.399999999999977,7177.251160464705,4395.3,False,False,False,False
0,0.3913043478260789,0.44444444444444997,0.28928987194412115,0.3942307692307692,0.3675889328063241,0,0,0,0,0,0,NORMAL,10.400000000000034,5666.647748912589,3022.5,False,False,False,False
1,0.38043478260869534,0.4197530864197603,0.22759022118742733,0.4244505494505495,0.37549407114624506,0,0,0,0,0,0,NORMAL,10.300000000000011,5665.0560086347705,3296.5000000000005,False,False,False,False
1,0.38043478260869534,0.4320987654321016,0.16530849825378346,0.6153846153846153,0.38735177865612647,0,0,0,0,0,0,NORMAL,10.399999999999977,7389.779903480055,4762.8,False,False,False,False
1,0.3913043478260789,0.4320987654321016,0.24039580908032598,0.4519230769230769,0.3992094861660079,0,0,0,0,0,0,NORMAL,10.300000000000011,6076.122935381483,3706.7000000000003,False,False,False,False
0,0.38043478260869534,0.4197530864197603,0.1577415599534343,0.48626373626373637,0.4110671936758893,0,0,0,0,0,0,NORMAL,10.300000000000011,5907.115722593864,4076.8,False,False,False,False
2,0.3913043478260789,0.4320987654321016,0.1228172293364378,0.6442307692307693,0.41897233201581024,0,0,0,0,0,0,NORMAL,10.300000000000011,7321.513095117549,5374.200000000001,False,False,False,False
0,0.38043478260869534,0.4197530864197603,0.10593713620488943,0.6689560439560439,0.4387351778656126,0,0,0,0,0,0,NORMAL,10.300000000000011,7422.012644105886,5827.5,False,False,False,False
0,0.38043478260869534,0.4197530864197603,0.11292200232828875,0.5714285714285714,0.44664031620553357,0,0,0,0,0,0,NORMAL,10.300000000000011,6475.3251138731375,5130.2,False,False,False,False
0,0.38043478260869534,0.4197530864197603,0.11641443538998841,0.6456043956043955,0.45454545454545453,0,0,0,0,0,0,NORMAL,10.300000000000011,7277.436550187683,5842.0,False,False,False,False
1,0.38043478260869534,0.4197530864197603,0.11641443538998841,0.6222527472527473,0.4624505928853755,0,0,0,0,0,0,NORMAL,10.300000000000011,7033.900287681403,5744.7,False,False,False,False
2,0.38043478260869534,0.4320987654321016,0.11874272409778819,0.6140109890109889,0.4743083003952569,0,0,0,0,0,0,NORMAL,10.399999999999977,6968.2619451724,5820.0,False,False,False,False
1,0.38043478260869534,0.4197530864197603,0.17694994179278234,0.6002747252747253,0.49407114624505927,0,0,0,0,0,0,NORMAL,10.300000000000011,7322.005277966611,5937.5,False,False,False,False
0,0.38043478260869534,0.4197530864197603,0.18684516880093138,0.6222527472527473,0.5059288537549407,0,0,0,0,0,0,NORMAL,10.300000000000011,7656.050824822814,6284.8,False,False,False,False
1,0.36956521739129755,0.4074074074074119,0.3928987194412107,0.30219780219780223,0.5138339920948616,0,0,0,0,0,0,NORMAL,10.300000000000011,4979.36152408675,3354.0,False,False,False,False
0,0.38043478260869534,0.4197530864197603,0.1455180442374855,0.5837912087912087,0.525691699604743,0,0,0,0,0,0,NORMAL,10.300000000000011,6875.20797077307,6157.9,False,False,False,False
2,0.38043478260869534,0.4320987654321016,0.1495925494761351,0.6881868131868131,0.533596837944664,0,0,0,0,0,0,NORMAL,10.399999999999977,8043.262591353267,7276.5,False,False,False,False
1,0.3913043478260789,0.4320987654321016,0.14202561117578583,0.5535714285714285,0.5533596837944663,0,0,0,0,0,0,NORMAL,10.300000000000011,6520.815375497118,6174.0,False,False,False,False
0,0.3913043478260789,0.4197530864197603,0.9854481955762514,0.010989010989010992,0.5652173913043478,1,0,0,1,0,0,PWF,10.200000000000045,1378.1748092277942,657.8,False,True,False,False
0,0.3913043478260789,0.4197530864197603,0.12514551804423757,0.7019230769230769,0.5731225296442687,0,0,0,0,0,0,NORMAL,10.200000000000045,7951.02543104387,7960.5,False,False,False,False
2,0.38043478260869534,0.4074074074074119,0.19150174621653093,0.5494505494505494,0.5810276679841897,0,0,0,0,0,0,NORMAL,10.199999999999989,6866.327735538923,6438.599999999999,False,False,False,False
0,0.36956521739129755,0.4074074074074119,0.23108265424912688,0.42994505494505497,0.6007905138339921,0,0,0,0,0,0,NORMAL,10.300000000000011,5752.41322835559,5335.2,False,False,False,False
0,0.36956521739129755,0.4074074074074119,0.3044237485448196,0.3612637362637363,0.608695652173913,0,0,0,0,0,0,NORMAL,10.300000000000011,5330.141287811075,4635.400000000001,False,False,False,False
0,0.38043478260869534,0.4197530864197603,0.20023282887077998,0.5068681318681318,0.616600790513834,0,0,0,0,0,0,NORMAL,10.300000000000011,6444.286178455671,6349.200000000001,False,False,False,False
0,0.38043478260869534,0.4197530864197603,0.17986030267753206,0.5302197802197801,0.6245059288537549,0,0,0,0,0,0,NORMAL,10.300000000000011,6558.053720417668,6699.2,False,False,False,False
0,0.38043478260869534,0.4197530864197603,0.20081490104772992,0.5013736263736263,0.6324110671936758,0,0,0,0,0,0,NORMAL,10.300000000000011,6385.171876690622,6448.0,False,False,False,False
1,0.38043478260869534,0.4074074074074119,0.28696158323632137,0.35302197802197804,0.6403162055335968,0,0,0,0,0,0,NORMAL,10.199999999999989,5131.215640985769,4779.0,False,False,False,False
0,0.38043478260869534,0.4197530864197603,0.12223515715948785,0.695054945054945,0.6521739130434783,0,0,0,0,0,0,NORMAL,10.300000000000011,7850.127946986078,8976.0,False,False,False,False
0,0.38043478260869534,0.4197530864197603,0.130966239813737,0.6703296703296703,0.6600790513833992,0,0,0,0,0,0,NORMAL,10.300000000000011,7673.004953176687,8784.2,False,False,False,False
1,0.38043478260869534,0.4074074074074119,0.24679860302677536,0.47252747252747257,0.6679841897233201,0,0,0,0,0,0,NORMAL,10.199999999999989,6368.469075749037,6455.8,False,False,False,False
0,0.38043478260869534,0.4074074074074119,0.3847497089639115,0.2623626373626374,0.6798418972332015,0,0,0,0,0,0,NORMAL,10.199999999999989,4386.092695407341,3938.7999999999997,False,False,False,False
1,0.3913043478260789,0.4074074074074119,0.37485448195576254,0.30357142857142855,0.6877470355731224,0,0,0,0,0,0,NORMAL,10.100000000000023,4914.581883569728,4506.599999999999,False,False,False,False
0,0.4021739130434767,0.4197530864197603,0.20663562281722936,0.47802197802197804,0.6996047430830039,0,0,0,0,0,0,NORMAL,10.100000000000023,6156.244020023535,6832.2,False,False,False,False
0,0.4021739130434767,0.4197530864197603,0.13154831199068684,0.5673076923076923,0.7075098814229248,0,0,0,0,0,0,NORMAL,10.100000000000023,6583.668172519938,8072.900000000001,False,False,False,False
1,0.3913043478260789,0.3950617283950635,0.29743888242142025,0.34203296703296704,0.7154150197628458,0,0,0,0,0,0,NORMAL,10.0,5046.162255877581,5194.7,False,False,False,False
2,0.38043478260869534,0.3950617283950635,0.17345750873108268,0.5535714285714285,0.7272727272727272,0,0,0,0,0,0,NORMAL,10.099999999999966,6770.195000339076,8114.400000000001,False,False,False,False
0,0.38043478260869534,0.3950617283950635,0.20896391152502913,0.39285714285714285,0.7470355731225296,0,0,0,0,0,0,NORMAL,10.099999999999966,5180.988940594142,6123.599999999999,False,False,False,False
0,0.3913043478260789,0.4074074074074119,0.14086146682188594,0.8502747252747253,0.7549407114624506,1,0,0,1,1,0,PWF,10.100000000000023,9700.923955019922,12548.7,False,True,True,False
1,0.3913043478260789,0.4074074074074119,0.440046565774156,0.25824175824175827,0.7628458498023715,0,0,0,0,0,0,NORMAL,10.100000000000023,4553.466280015094,4361.8,False,False,False,False
0,0.3913043478260789,0.4197530864197603,0.16530849825378346,0.5728021978021978,0.7747035573122529,0,0,0,0,0,0,NORMAL,10.200000000000045,6918.415341735442,8918.0,False,False,False,False
0,0.3913043478260789,0.4197530864197603,0.11699650756693836,0.5576923076923076,0.7826086956521738,0,0,0,0,0,0,NORMAL,10.200000000000045,6365.243707291351,8791.199999999999,False,False,False,False
0,0.4021739130434767,0.4197530864197603,0.24679860302677536,0.4285714285714286,0.7905138339920948,0,0,0,0,0,0,NORMAL,10.100000000000023,5834.984755267442,7000.0,False,False,False,True
0,0.3913043478260789,0.4074074074074119,0.25203725261932486,0.3914835164835165,0.7984189723320158,0,0,0,0,0,0,NORMAL,10.100000000000023,5415.299392674381,6524.599999999999,False,False,False,True
0,0.38043478260869534,0.3950617283950635,0.1228172293364378,0.5892857142857143,0.8063241106719367,0,0,0,0,0,0,NORMAL,10.099999999999966,6743.878925877505,9526.800000000001,False,False,False,True
0,0.38043478260869534,0.3950617283950635,0.17054714784633296,0.6057692307692307,0.8142292490118577,0,0,0,0,0,0,NORMAL,10.099999999999966,7328.487430808517,9867.4,False,False,False,True
0,0.38043478260869534,0.3950617283950635,0.1670547147846333,0.5151098901098901,0.8221343873517786,1,1,0,0,0,0,TWF,10.099999999999966,6292.767164773034,8590.4,False,False,False,True
0,0.38043478260869534,0.3950617283950635,0.13387660069848661,0.6552197802197802,0.0,0,0,0,0,0,0,NORMAL,10.099999999999966,7539.508209350144,0.0,False,False,False,False
0,0.38043478260869534,0.3950617283950635,0.1362048894062864,0.46840659340659335,0.007905138339920948,0,0,0,0,0,0,NORMAL,10.099999999999966,5564.367964087217,75.8,False,False,False,False
2,0.38043478260869534,0.3827160493827222,0.16123399301513397,0.6332417582417582,0.015810276679841896,0,0,0,0,0,0,NORMAL,10.0,7550.870302780627,199.6,False,False,False,False
0,0.3913043478260789,0.3950617283950635,0.1641443538998837,0.6002747252747253,0.035573122529644265,0,0,0,0,0,0,NORMAL,10.0,7212.573133866566,427.5,False,False,False,False
0,0.3913043478260789,0.3950617283950635,0.1658905704307334,0.5082417582417581,0.043478260869565216,0,0,0,0,0,0,NORMAL,10.0,6208.038410905718,448.79999999999995,False,False,False,False
0,0.4021739130434767,0.4074074074074119,0.1752037252619325,0.4986263736263737,0.05138339920948616,0,0,0,0,0,0,NORMAL,10.0,6168.716142858286,521.3000000000001,False,False,False,False
0,0.3913043478260789,0.3950617283950635,0.14784633294528526,0.6016483516483516,0.05928853754940711,0,0,0,0,0,0,NORMAL,10.0,7088.187008735435,714.0,False,False,False,False
1,0.4021739130434767,0.4074074074074119,0.370197904540163,0.315934065934066,0.06719367588932806,0,0,0,0,0,0,NORMAL,10.0,5062.906944721215,455.6,False,False,False,False
2,0.4021739130434767,0.4074074074074119,0.15599534342258448,0.5508241758241758,0.07905138339920947,0,0,0,0,0,0,NORMAL,10.0,6601.5752506454,878.0,False,False,False,False
0,0.4021739130434767,0.4074074074074119,0.21885913853317818,0.38461538461538464,0.09881422924901186,0,0,0,0,0,0,NORMAL,10.0,5141.656200571199,795.0,False,False,False,False
1,0.4021739130434767,0.4074074074074119,0.14610011641443543,0.5686813186813187,0.1067193675889328,0,0,0,0,0,0,NORMAL,10.0,6716.599429668834,1220.4,False,False,False,False
1,0.3913043478260789,0.3950617283950635,0.1856810244470315,0.49038461538461536,0.11857707509881422,0,0,0,0,0,0,NORMAL,10.0,6150.871896585896,1185.0,False,False,False,False
0,0.3913043478260789,0.3950617283950635,0.340512223515716,0.30219780219780223,0.13043478260869565,0,0,0,0,0,0,NORMAL,10.0,4736.2022526989,851.4,False,False,False,False
0,0.3913043478260789,0.3950617283950635,0.38533178114086153,0.2898351648351648,0.13833992094861658,0,0,0,0,0,0,NORMAL,10.0,4771.765081537536,871.5,False,False,False,False
1,0.3913043478260789,0.3950617283950635,0.32537834691501744,0.3200549450549451,0.14624505928853754,0,0,0,0,0,0,NORMAL,10.0,4901.062563183781,1002.7,False,False,False,False
0,0.4130434782608674,0.4074074074074119,0.1641443538998837,0.5384615384615384,0.15810276679841895,0,0,0,0,0,0,NORMAL,9.899999999999977,6529.276731710786,1720.0,False,False,False,False
0,0.4021739130434767,0.3950617283950635,0.26426076833527357,0.385989010989011,0.1660079051383399,0,0,0,0,0,0,NORMAL,9.899999999999977,5418.388625450411,1339.8,False,False,False,False
1,0.4021739130434767,0.4074074074074119,0.10651920838183937,0.6648351648351648,0.17391304347826086,0,0,0,0,0,0,NORMAL,10.0,7385.067514499669,2296.8,False,False,False,False
1,0.4021739130434767,0.4074074074074119,0.23690337601862632,0.43269230769230765,0.18577075098814227,0,0,0,0,0,0,NORMAL,10.0,5822.156585265283,1659.1,False,False,False,False
1,0.3913043478260789,0.3950617283950635,0.33876600698486625,0.3585164835164835,0.1976284584980237,0,0,0,0,0,0,NORMAL,10.0,5479.461186636197,1495.0,False,False,False,False
0,0.3913043478260789,0.3827160493827222,0.21012805587892902,0.396978021978022,0.20948616600790512,0,0,0,0,0,0,NORMAL,9.900000000000034,5235.809732399285,1733.1000000000001,False,False,False,False
0,0.38043478260869534,0.3827160493827222,0.20663562281722936,0.5576923076923076,0.21739130434782608,0,0,0,0,0,0,NORMAL,10.0,7081.275504897537,2442.0,False,False,False,False
0,0.38043478260869534,0.3950617283950635,0.3981373690337603,0.29120879120879123,0.225296442687747,0,0,0,0,0,0,NORMAL,10.099999999999966,4848.524662040247,1425.0,False,False,False,False
0,0.38043478260869534,0.3827160493827222,0.47904540162980214,0.23214285714285715,0.23320158102766797,0,0,0,0,0,0,NORMAL,10.0,4315.888571575121,1221.3,False,False,False,False
0,0.38043478260869534,0.3827160493827222,0.22526193247962756,0.5054945054945055,0.24110671936758893,0,0,0,0,0,0,NORMAL,10.0,6611.27229996948,2476.6,False,False,False,False
1,0.38043478260869534,0.3827160493827222,0.1589057043073342,0.5041208791208791,0.24901185770750986,0,0,0,0,0,0,NORMAL,10.0,6111.4972686609035,2551.5,False,False,False,False
0,0.38043478260869534,0.3703703703703738,0.1641443538998837,0.5439560439560439,0.2608695652173913,0,0,0,0,0,0,NORMAL,9.899999999999977,6590.014189680189,2864.4,False,False,False,False
0,0.38043478260869534,0.3703703703703738,0.24621653084982542,0.37500000000000006,0.26877470355731226,0,0,0,0,0,0,NORMAL,9.899999999999977,5181.543955296278,2114.8,False,False,False,False
0,0.38043478260869534,0.3703703703703738,0.16123399301513397,0.6140109890109889,0.27667984189723316,0,0,0,0,0,0,NORMAL,9.899999999999977,7339.022238173556,3395.0,False,False,False,False
1,0.38043478260869534,0.3827160493827222,0.19150174621653093,0.5906593406593406,0.2845849802371541,0,0,0,0,0,0,NORMAL,10.0,7336.624155781315,3369.6,False,False,False,False
2,0.3913043478260789,0.3827160493827222,0.26367869615832373,0.396978021978022,0.2964426877470355,0,0,0,0,0,0,NORMAL,9.900000000000034,5550.84864370127,2452.5,False,False,False,False
0,0.3913043478260789,0.3703703703703738,0.2351571594877765,0.41620879120879123,0.3162055335968379,0,0,0,0,0,0,NORMAL,9.800000000000011,5613.523417140386,2728.0,False,False,False,False
0,0.38043478260869534,0.3580246913580325,0.40977881257275917,0.2568681318681319,0.32411067193675885,0,0,0,0,0,0,NORMAL,9.800000000000011,4410.79608564007,1845.0,False,False,False,False
2,0.36956521739129755,0.3580246913580325,0.19266589057043082,0.5453296703296703,0.3320158102766798,0,0,0,0,0,0,NORMAL,9.900000000000034,6828.408712210095,3654.0,False,False,False,False
1,0.38043478260869534,0.3703703703703738,0.19208381839348088,0.49038461538461536,0.3517786561264822,0,0,0,0,0,0,NORMAL,9.899999999999977,6196.372630185388,3515.5,False,False,False,False
1,0.38043478260869534,0.3580246913580325,0.18509895227008155,0.5233516483516483,0.3636363636363636,0,0,0,0,0,0,NORMAL,9.800000000000011,6520.208000917424,3854.7999999999997,False,False,False,False
0,0.38043478260869534,0.3580246913580325,0.2980209545983702,0.3516483516483516,0.37549407114624506,0,0,0,0,0,0,NORMAL,9.800000000000011,5172.318144870235,2793.0,False,False,False,False
0,0.38043478260869534,0.3580246913580325,0.15308498253783476,0.5755494505494505,0.38339920948616596,0,0,0,0,0,0,NORMAL,9.800000000000011,6848.326409633854,4432.900000000001,False,False,False,False
0,0.3913043478260789,0.3703703703703738,0.23050058207217705,0.41620879120879123,0.3913043478260869,0,0,0,0,0,0,NORMAL,9.800000000000011,5584.955867943742,3375.9,False,False,False,False
0,0.38043478260869534,0.3580246913580325,0.25087310826542497,0.4010989010989011,0.3992094861660079,0,0,0,0,0,0,NORMAL,9.800000000000011,5525.747318399087,3333.0,False,False,False,False
1,0.38043478260869534,0.3580246913580325,0.31373690337601867,0.3337912087912088,0.40711462450592883,0,0,0,0,0,0,NORMAL,9.800000000000011,5023.0610778981845,2894.3,False,False,False,False
0,0.36956521739129755,0.3456790123456841,0.17403958090803262,0.5068681318681318,0.41897233201581024,0,0,0,0,0,0,NORMAL,9.800000000000011,6252.491946954014,4314.200000000001,False,False,False,False
0,0.3913043478260789,0.3703703703703738,0.15424912689173464,0.5618131868131868,0.4268774703557312,0,0,0,0,0,0,NORMAL,9.800000000000011,6707.834386165319,4827.6,False,False,False,False
0,0.3913043478260789,0.3703703703703738,0.2270081490104774,0.5137362637362637,0.43478260869565216,0,0,0,0,0,0,NORMAL,9.800000000000011,6721.919193228913,4532.0,False,False,False,False
0,0.4021739130434767,0.3827160493827222,0.08265424912689179,0.6442307692307693,0.4426877470355731,0,0,0,0,0,0,NORMAL,9.800000000000011,6955.171975782443,5678.400000000001,False,False,False,False
0,0.3913043478260789,0.3703703703703738,0.22002328288707806,0.5439560439560439,0.450592885375494,0,0,0,0,0,0,NORMAL,9.800000000000011,7026.318577410739,4947.599999999999,False,False,False,False
0,0.3913043478260789,0.3703703703703738,0.32537834691501744,0.3516483516483516,0.458498023715415,0,0,0,0,0,0,NORMAL,9.800000000000011,5317.0199024945805,3410.3999999999996,False,False,False,False
0,0.3913043478260789,0.3580246913580325,0.22817229336437728,0.39010989010989017,0.46640316205533594,0,0,0,0,0,0,NORMAL,9.700000000000045,5260.282739170751,3799.6000000000004,False,False,False,False
0,0.4021739130434767,0.3580246913580325,0.09371362048894072,0.7788461538461537,0.4743083003952569,0,0,0,0,0,0,NORMAL,9.600000000000023,8419.939550518684,7260.0,False,False,False,False
0,0.3913043478260789,0.3580246913580325,0.14260768335273577,0.5865384615384615,0.48221343873517786,0,0,0,0,0,0,NORMAL,9.700000000000045,6880.559150259685,5673.0,False,False,False,False
0,0.4021739130434767,0.3580246913580325,0.24388824214202565,0.47802197802197804,0.49011857707509876,0,0,0,0,0,0,NORMAL,9.600000000000023,6414.943703071142,4786.400000000001,False,False,False,False
0,0.3913043478260789,0.3456790123456841,0.22759022118742733,0.4189560439560439,0.4980237154150197,0,0,0,0,0,0,NORMAL,9.600000000000023,5599.75276934215,4321.799999999999,False,False,False,False
0,0.38043478260869534,0.3333333333333357,0.17753201396973228,0.5123626373626373,0.5059288537549407,0,0,0,0,0,0,NORMAL,9.599999999999966,6339.765390870739,5260.8,False,False,False,False
0,0.38043478260869534,0.3333333333333357,0.3311990686845169,0.3282967032967033,0.5138339920948616,0,0,0,0,0,0,NORMAL,9.599999999999966,5038.580545606917,3601.0,False,False,False,False
1,0.36956521739129755,0.3333333333333357,0.1589057043073342,0.5412087912087912,0.5217391304347826,0,0,0,0,0,0,NORMAL,9.699999999999989,6518.930419904965,5702.400000000001,False,False,False,False
1,0.36956521739129755,0.3333333333333357,0.1525029103608848,0.6291208791208791,0.533596837944664,0,0,0,0,0,0,NORMAL,9.699999999999989,7427.562791127228,6696.0,False,False,False,False
0,0.38043478260869534,0.3333333333333357,0.11699650756693836,0.6758241758241758,0.5454545454545454,0,0,0,0,0,0,NORMAL,9.599999999999966,7598.151272217154,7314.0,False,False,False,False
1,0.38043478260869534,0.3456790123456841,0.31606519208381845,0.3392857142857143,0.5533596837944663,0,0,0,0,0,0,NORMAL,9.699999999999989,5106.501778777529,3990.0,False,False,False,False
2,0.36956521739129755,0.3456790123456841,0.14668218859138538,0.5755494505494505,0.5652173913043478,0,0,0,0,0,0,NORMAL,9.800000000000011,6795.683788735201,6535.1,False,False,False,False
0,0.36956521739129755,0.3580246913580325,0.07508731082654252,0.7074175824175823,0.5849802371541502,0,0,0,0,0,0,NORMAL,9.900000000000034,7510.930188177988,8184.4,False,False,False,False
2,0.38043478260869534,0.3580246913580325,0.16356228172293374,0.6263736263736263,0.592885375494071,0,0,0,0,0,0,NORMAL,9.800000000000011,7495.902903318317,7410.0,False,False,False,False
0,0.38043478260869534,0.3580246913580325,0.05820721769499426,0.7142857142857142,0.6126482213438734,0,0,0,0,0,0,NORMAL,9.800000000000011,7409.383441638454,8649.0,False,False,False,False
0,0.38043478260869534,0.3580246913580325,0.19965075669383003,0.4436813186813187,0.6205533596837944,0,0,0,0,0,0,NORMAL,9.800000000000011,5712.158954487593,5667.7,False,False,False,False
0,0.36956521739129755,0.3456790123456841,0.21885913853317818,0.4313186813186814,0.6284584980237153,0,0,0,0,0,0,NORMAL,9.800000000000011,5691.393027047365,5596.8,False,False,False,False
1,0.35869565217391397,0.3333333333333357,0.35506402793946445,0.33516483516483514,0.6363636363636364,0,0,0,0,0,0,NORMAL,9.799999999999955,5250.606633797693,4540.2,False,False,False,False
2,0.35869565217391397,0.3333333333333357,0.1391152502910361,0.6414835164835164,0.6482213438735177,0,0,0,0,0,0,NORMAL,9.799999999999955,7440.705120394745,8282.0,False,False,False,False
1,0.35869565217391397,0.3333333333333357,0.12980209545983712,0.5302197802197801,0.6679841897233201,0,0,0,0,0,0,NORMAL,9.799999999999955,6176.203605349342,7165.599999999999,False,False,False,False
0,0.3478260869565162,0.3333333333333357,0.20081490104772992,0.4093406593406594,0.6798418972332015,0,0,0,0,0,0,NORMAL,9.899999999999977,5323.61724706712,5779.2,False,False,False,False
2,0.3478260869565162,0.3333333333333357,0.25844004656577424,0.4436813186813187,0.6877470355731224,0,0,0,0,0,0,NORMAL,9.899999999999977,6093.977653629385,6281.400000000001,False,False,False,False
